schoolid,count
mdrockh,0
mdstjoh,0
mercer,0
mercyhurst,0
mericke,0
mesast,0
messiah,0
mestjos,0
mewestb,0
miamidade,0
miamioh,0
middlbryvt,0
midetrte,0
midlndluth,0
migocco,0
migrand,0
mihenry,0
millersvil,0
milligantn,0
millikin,0
millsapsms,0
milmich,0
mimuske,0
minorth,0
mioakla,0
mistcla,0
mit,0
mnbemid,0
mnmesabi,0
mnmoorh,0
mnmorris,0
mnnorma,0
mnparke,0
mntclairst,0
mobileal,0
moconco,0
mocrowd,0
moculve,0
modrury,0
mofores,0
moharri,0
mojcjco,0
mominer,0
monmouth,0
monroecc,0
montevallo,0
montreatnc,0
morehead,0
morehouse,0
morganst,0
morolla,0
mosouthern,0
motarki,0
mothree,0
mowestern,0
mrningside,0
mryvilletn,0
mscopia,0
mseccco,0
msgcmac,0
mshinds,0
msitawa,0
msmdcco,0
msnwmcc,0
mspearl,0
msswmcc,0
mstupel,0
mtennst,0
mtolive,0
mtstmarys,0
mtunionoh,0
mtvernnaz,0
muhlenberg,0
murrayst,0
muskingum,0
narizona,0
navy,0
ncbreva,0
ncchowa,0
ncentralil,0
nclouis,0
ncmarsh,0
ncolorado,0
ncpitcc,0
ncruthe,0
ncstand,0
ncuncpe,0
ncweave,0
ndstate,0
ndunind,0
nebellevue,0
nebkearney,0
nebomaha,0
nedoane,0
nehasti,0
neillinois,0
nepersh,0
nevada,0
newberry,0
newesleyan,0
neweste,0
nflorida,0
niagara,0
nicholls,0
nillinois,0
niowa,0
njberge,0
njborde,0
njburli,0
njcamde,0
njccmor,0
njcente,0
njcity,0
njglouc,0
njmerce,0
njmiddl,0
njricha,0
njupsal,0
nkentucky,0
nmeaste,0
nmexico,0
nmhighland,0
nmmilin,0
nmnmjco,0
nmsouth,0
nmstate,0
norfolkst,0
norleans,0
northwood,0
norwichvt,0
ntexas,0
nvsouth,0
nwstate,0
nybrock,0
nycortland,0
nydutch,0
nyeriec,0
nyfredonia,0
nykbcco,0
nylehma,0
nymarit,0
nymercy,0
nymohaw,0
nynassa,0
nyoneonta,0
nyonond,0
nyrockl,0
nysuffo,0
nytech,0
nyuroch,0
oakland,0
oberlinoh,0
occidental,0
oglethrpga,0
ohcapit,0
ohcaset,0
ohdominican,0
ohgiffi,0
ohjohnc,0
ohlakel,0
ohlerie,0
ohnorth,0
ohsincl,0
ohvalley,0
ohwesleyan,0
okbapti,0
okcity,0
okconno,0
okeaste,0
okmurra,0
okneoam,0
oknestu,0
okocsw,0
okroger,0
okwesle,0
okweste,0
olivetmi,0
oralrob,0
orbluem,0
orcheme,0
orcorba,0
orlinnb,0
ormount,0
ortreas,0
orweste,0
otterbein,0
ouachitab,0
ozarks,0
paalleb,0
paalles,0
pabeave,0
pabucks,0
pabutle,0
paccphi,0
pacheyn,0
pacificor,0
padelaw,0
padesal,0
pahahne,0
pahaver,0
palaroc,0
palinco,0
paschuy,0
pennst,0
pfeiffer,0
philly,0
philsmith,0
piedmontga,0
pittsbst,0
pittsburgh,0
plymouth,0
pompitzer,0
portland,0
portlandst,0
prairview,0
presbytrn,0
psubehrend,0
ptlomanaz,0
ptparkpa,0
pugetsound,0
quincy,0
quinnipiac,0
radford,0
ramaponj,0
randmacon,0
rhodeisle,0
rhodestn,0
ric,0
rider,0
riponwi,0
riroger,0
roanokeva,0
robertmor,0
rockhurst,0
rowannj,0
sacstate,0
saginawval,0
salemintl,0
samford,0
samhouston,0
sandiego,0
sanfran,0
sarkansas,0
savcolad,0
scfranc,0
schreiner,0
sclimes,0
scranton,0
scstate,0
scupsta,0
sdcity,0
seattle,0
sefl,0
sela,0
semost,0
sfaustin,0
sfcc,0
sflorida,0
shaw,0
shenandoah,0
shepherdwv,0
shipnsburg,0
shorterga,0
siena,0
silledward,0
sindiana,0
sliprock,0
smaine,0
smethodist,0
sonomast,0
stambrseia,0
stanselm,0
staugustne,0
stbonny,0
stcloudst,0
sterlingks,0
stfranny,0
stfranpa,0
stfrncisil,0
stleo,0
stlouis,0
stmartinwa,0
stmarysmn,0
stmarytx,0
stmichaels,0
stpeters,0
strose,0
stthomasfl,0
stthomasmn,0
stxavieril,0
sunybing,0
sunybuff,0
susquehnna,0
sutah,0
swesternks,0
swoklahoma,0
tamucomm,0
tamukvill,0
tarletonst,0
temple,0
tennst,0
thielpa,0
tnchatt,0
tnchris,0
tncleve,0
tncolum,0
tnhiwas,0
tnjacks,0
tnkingc,0
tnmotlo,0
tnswten,0
tntech,0
tntenme,0
tnvolun,0
tnwesleyan,0
toledo,0
towson,0
trinityct,0
trinitytx,0
trnsylvnia,0
troyst,0
trumanst,0
tuftsma,0
tusculum,0
txalvin,0
txangjc,0
txausti,0
txblinn,0
txburne,0
txclare,0
txcoast,0
txcolli,0
txeastf,0
txelpas,0
txfrank,0
txgrays,0
txhillj,0
txhowar,0
txkilgo,0
txleejc,0
txlonmo,0
txmcmur,0
txmerid,0
txmidla,0
txnctjc,0
txnetex,0
txodess,0
txpanol,0
txpaulq,0
txsajco,0
txsjjco,0
abilchrist,0
txtech,0
txtempl,0
txtexar,0
txtyler,0
txweath,0
txwesle,0
txwestt,0
txwhart,0
uab,0
ucdavis,0
ucirvine,0
ucriver,0
ucsd,0
umassdartm,0
umbc,0
umes,0
umkc,0
uncashe,0
uncgreen,0
uncwilm,0
unionny,0
uniontn,0
uofsouth,0
upenn,0
upperiowa,0
ursinus,0
uscaiken,0
utah,0
utahst,0
utahvalley,0
utarl,0
utchat,0
utdixie,0
utep,0
utpanam,0
utslxxo,0
utsnojc,0
vaappre,0
vaemenn,0
valdostast,0
valpo,0
vamedic,0
vanguardca,0
vatech,0
vcu,0
viterbowi,0
vmi,0
wabashin,0
wabelle,0
wacentr,0
wacolum,0
waedmon,0
waevere,0
wagreen,0
walabama,0
walower,0
waolymp,0
warnerpac,0
wasfcco,0
washcolltn,0
washjeffpa,0
washleeva,0
washore,0
watacom,0
wawalla,0
wawenat,0
waynesburg,0
waynest,0
waynestne,0
wchester,0
wconnst,0
weberst,0
wesleyanct,0
westmontca,0
wflorida,0
wgeorgia,0
wheatonma,0
whitmanwa,0
whittierca,0
whitwrthwa,0
wicarro,0
widenerpa,0
wilacrosse,0
wilawre,0
wilbrforce,0
wileytx,0
wilkespa,0
willamette,0
williamsma,0
wingate,0
winstsalst,0
winthrop,0
wioshkosh,0
wistnor,0
wistvnspt,0
wisuperior,0
wittnbrgoh,0
wiwhitewtr,0
wkentucky,0
wlmcarey,0
wlmjewell,0
wlmpennia,0
wminsterpa,0
wofford,0
woosteroh,0
wpaterson,0
wvirginia,0
wvpotom,0
wvstate,0
wvwesleyan,0
wwashngton,0
wyoming,0
xavier,0
txswtex,0
adelphi,0
adrianmi,0
akron,0
alabamaam,0
alabamast,0
albanyst,0
albertsnid,0
albevil,0
albionmi,0
albrightpa,0
alcornst,0
alfaulk,0
alfscco,0
algadsd,0
aljeffd,0
allegheny,0
allurle,0
almami,0
almiles,0
alnorth,0
alsuscc,0
alverniapa,0
alwsdot,0
alwshan,0
american,0
amerintl,0
amherstma,0
andersonsc,0
appalst,0
aquinasmi,0
arftsmi,0
arkansaslr,0
arkansaspb,0
arkansasst,0
arkmont,0
arktech,0
armstratl,0
army,0
arnorth,0
ashland,0
athensst,0
auburnmont,0
augsburgmn,0
austincol,0
austinpeay,0
azchand,0
azcochi,0
azphoen,0
azpimcc,0
azscott,0
azsouth,0
azusapac,0
baconeok,0
bakerks,0
baldwalloh,0
bartonnc,0
baruchcuny,0
belmont,0
belmontab,0
beloitwi,0
benedctnks,0
bethanywv,0
bethcook,0
betheltn,0
birmsouth,0
blackbrnil,0
bloomsburg,0
bluefield,0
boisest,0
bostoncoll,0
bowdoinme,0
brandeisma,0
brdgwatrva,0
brewparker,0
bridgeport,0
bridgwtrst,0
brklyncuny,0
bryant,0
eurekail,0
buenavista,0
buffalost,0
caallan,0
caameri,0
caantel,0
cabakjc,0
cabarst,0
cabutte,0
cacabri,0
cacanyo,0
cacerri,0
cachaff,0
cacitru,0
cacompt,0
cacuest,0
cadeanz,0
caelajc,0
cafeath,0
cafooth,0
cafrepa,0
cagavil,0
caglend,0
cagolde,0
caharbo,0
cahartn,0
caimper,0
calamjc,0
calasse,0
calavco,0
calipa,0
calpolypom,0
calstla,0
calutheran,0
camarin,0
camendo,0
camenlo,0
camerce,0
cameronok,0
camissi,0
camodes,0
camoorp,0
campjco,0
camsajc,0
camsjjc,0
canapav,0
capalom,0
caporte,0
caranch,0
caredwo,0
careedl,0
carivcc,0
carkansas,0
carsnewm,0
carthagewi,0
casanbe,0
casbcco,0
casbvjc,0
casdmjc,0
casewestrn,0
cashast,0
casierr,0
casiski,0
casjdjc,0
caskyli,0
casmjco,0
casolan,0
casrjco,0
caswjco,0
catafjc,0
catawba,0
caventu,0
cawhjco,0
cawlajc,0
cconnst,0
ccri,0
centenary,0
centok,0
cflorida,0
charleswv,0
charlsouth,0
chicago,0
chicagost,0
chicost,0
citadel,0
clarksonny,0
clevst,0
clrmuddscr,0
cmissouri,0
cncrdiacol,0
coftlew,0
colamar,0
colgate,0
colocollege,0
colorado,0
coloradost,0
comines,0
concordny,0
concrdiamn,0
concrdiatx,0
cornell,0
cornellia,0
costpue,0
crdstritch,0
crngmellon,0
csdomhills,0
cshayward,0
csstanisl,0
ctconap,0
ctmitch,0
ctnorwa,0
cumbrlndtn,0
cwashngton,0
cwpost,0
davidson,0
daviselkins,0
dayton,0
dcbenfr,0
debrand,0
dedelaw,0
delawarest,0
deltast,0
denisonoh,0
denver,0
depaul,0
depauwin,0
detroit,0
dominican,0
drake,0
dubuque,0
ecarolina,0
eckerd,0
econnst,0
edinboro,0
eillinois,0
elizbthtwn,0
elon,0
emoryga,0
emoryhenry,0
emporiast,0
erskine,0
estroud,0
etennst,0
etxbaptist,0
eutah,0
evansville,0
fairfield,0
fairldick,0
ferrisst,0
flagler,0
flatlantic,0
flbreva,0
flbrowa,0
flcentr,0
fldayto,0
flediso,0
flflajc,0
flgateway,0
flhills,0
flindia,0
fllynnu,0
flmdkjc,0
flnfcco,0
flnwfsc,0
flokalo,0
flpasco,0
flpbaun,0
flpensa,0
flpolkc,0
flsanta,0
flsjrcc,0
flstpet,0
fltalla,0
flvalen,0
forthays,0
franklinin,0
frankmarsh,0
freedhrdmn,0
friendsks,0
furman,0
gaberry,0
gacoast,0
gacollege,0
gacolum,0
gagpjco,0
gallaudet,0
gannon,0
gardwebb,0
gasgajc,0
gaswestern,0
genevapa,0
georgefox,0
georgemas,0
georgewash,0
georgiast,0
georgtwnky,0
glenvilst,0
grandview,0
grinnellia,0
grovecity,0
grvalleyst,0
guilfordnc,0
hamlinemn,0
hampsydney,0
hardinsimm,0
hartwickny,0
harvard,0
haskellks,0
hawaii,0
hawaiihilo,0
hawaiipac,0
heidelberg,0
